# 20MPH-SA (Up to date)
# 3021 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (31 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (rad),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (rad),Longitude (rad),Gravitational acceleration (m/s²),Angle of attack (rad),Roll rate (rad/s),Pitch rate (rad/s),Yaw rate (rad/s),Mass (kg),Motor mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (m),CG location (m),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (m),Reference area (m²),Vertical orientation (zenith) (rad),Lateral orientation (azimuth) (rad),Wind velocity (m/s),Air temperature (K),Air pressure (Pa),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.06,0.061186,4.221461,148.140371,4.244714,148.956369,0.006431,0,0.006431,0,0.443693,15.57018,0.575786,1.867068,9.791353,1.085653,0,0,0,31.283614,8.39659,27.728957,0.11295,NaN,1.846272,NaN,0.03395,2219133.081272,4964.6454,0.117536,0.425874,0.087347,0.345212,0.01014,0.070522,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00052,0.15748,0.019478,1.466077,0,10.112483,279.055894,85629.360261,334.877872,0.002,0.014341
0.062,0.069926,4.51822,148.390301,4.543108,149.207677,0.007349,0,0.007349,0,0.474884,15.596449,0.575786,1.867068,9.791353,1.062353,0,0,0,31.279338,8.392313,27.724886,0.112945,NaN,1.846142,NaN,0.034345,2244954.287677,4971.8458,0.135573,0.425145,0.098447,0.344478,0.010142,0.070524,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000557,0.15748,0.019478,1.466077,0,10.101736,279.055837,85629.267296,334.877838,0.002,0.014764
0.064,0.07926,4.81548,148.640254,4.842005,149.459006,0.008331,0,0.008331,0,0.506127,15.62272,0.575786,1.867068,9.791353,1.039558,0,0,0,31.275062,8.388037,27.720814,0.11294,NaN,1.846013,NaN,0.034759,2272015.702744,4979.0462,0.155079,0.424392,0.109945,0.343721,0.010144,0.070527,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000594,0.15748,0.019478,1.466077,0,10.090988,279.055777,85629.168012,334.877801,0.002,0.01519
0.066,0.089188,5.113239,148.890228,5.141404,149.710357,0.009374,0,0.009374,0,0.537423,15.648994,0.575786,1.867068,9.791353,1.017274,0,0,0,31.270785,8.383761,27.716741,0.112934,NaN,1.845883,NaN,0.035191,2300280.982822,4986.2466,0.176062,0.423617,0.121772,0.342941,0.010147,0.070529,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00063,0.15748,0.019478,1.466077,0,10.080241,279.055712,85629.062399,334.877762,0.002,0.01562
0.068,0.099713,5.411499,149.140223,5.441307,149.961729,0.01048,0,0.01048,0,0.568771,15.675269,0.575786,1.867068,9.791353,0.995507,0,0,0,31.266509,8.379485,27.712667,0.112929,NaN,1.845753,NaN,0.035641,2329713.655879,4993.447,0.198525,0.422823,0.133861,0.342143,0.010149,0.070531,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000667,0.15748,0.019478,1.466077,0,10.069493,279.055644,85628.950446,334.87772,0.002,0.016045
0.07,0.110835,5.710258,149.39024,5.741712,150.213123,0.011649,0,0.011649,0,0.600172,15.701547,0.575786,1.867068,9.791353,0.974258,0,0,0,31.262233,8.375209,27.708592,0.112924,NaN,1.845624,NaN,0.036109,2360277.312406,5000.6474,0.222468,0.422013,0.146145,0.341327,0.010152,0.070534,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000704,0.15748,0.019478,1.466077,0,10.058746,279.055572,85628.832143,334.877676,0.002,0.016478
0.072,0.122554,6.009518,149.640278,6.04262,150.464538,0.012881,0,0.012881,0,0.631626,15.727827,0.575786,1.867068,9.791353,0.953529,0,0,0,31.257957,8.370932,27.704515,0.112919,NaN,1.845494,NaN,0.036593,2391935.776511,5007.8478,0.247885,0.421187,0.15856,0.340496,0.010155,0.070537,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000741,0.15748,0.019478,1.466077,0,10.047998,279.055495,85628.707478,334.87763,0.002,0.016908
0.074,0.134874,6.309653,150.078875,6.344409,150.905551,0.014176,0,0.014176,0,0.663171,15.773925,0.575786,1.867068,9.791353,0.933292,0,0,0,31.25347,8.366446,27.700238,0.112914,NaN,1.845358,NaN,0.037095,2424697.176365,5020.939386,0.274806,0.420348,0.171062,0.339651,0.010158,0.070539,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000778,0.15748,0.019478,1.466077,0,10.037251,279.055415,85628.576437,334.877582,0.002,0.017338
0.076,0.147794,6.611041,150.705041,6.647457,151.535166,0.015534,0,0.015534,0,0.694848,15.839738,0.575786,1.867068,9.791353,0.913523,0,0,0,31.248984,8.361959,27.695959,0.112908,NaN,1.845222,NaN,0.037613,2458574.822593,5039.922159,0.303262,0.419495,0.183608,0.338791,0.010161,0.070542,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000815,0.15748,0.019478,1.466077,0,10.026503,279.055331,85628.438998,334.877531,0.002,0.017799
0.078,0.161319,6.913682,151.331337,6.951764,152.164913,0.016955,0,0.016955,0,0.726657,15.905564,0.575786,1.867068,9.791353,0.894223,0,0,0,31.244497,8.357473,27.691678,0.112903,NaN,1.845086,NaN,0.038148,2493540.65731,5058.904932,0.333252,0.41863,0.196147,0.33792,0.010164,0.070545,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000852,0.15748,0.019478,1.466077,0,10.015756,279.055243,85628.295134,334.877478,0.002,0.018231
